id	DBpedia_URI	album	artist	date	rating	label
839	http://dbpedia.org/resource/The_Friends_EP	The Friends [EP]	Ween	19-Jun-07	61	bad
332	http://dbpedia.org/resource/Stade_2	Stade 2	Mr. Oizo	29-Nov-11	59	bad
872	http://dbpedia.org/resource/Harps_and_Angels	Harps And Angels	Randy Newman	5-Aug-08	86	good
970	http://dbpedia.org/resource/The_Weirdness	The Weirdness	The Stooges	6-Mar-07	44	bad
231	http://dbpedia.org/resource/Mic_Tyson	Mic Tyson	Sean Price	30-Oct-12	80	good
184	http://dbpedia.org/resource/Wake_Up_and_Smell_the_Coffee	Wake Up And Smell The Coffee	The Cranberries	23-Oct-01	62	bad
957	http://dbpedia.org/resource/So_Beautiful_or_So_What	So Beautiful or So What	Paul Simon	12-Apr-11	85	good
1368	http://dbpedia.org/resource/Live_at_Reading	Live At Reading	Nirvana	3-Nov-09	93	good
63	http://dbpedia.org/resource/The_Sophtware_Slump	The Sophtware Slump	Grandaddy	7-Nov-00	81	good
598	http://dbpedia.org/resource/The_Town_and_the_City_(album)	The Town And The City	Los Lobos	12-Sep-06	87	good
441	http://dbpedia.org/resource/Paul's_Tomb:_A_Triumph	Paul's Tomb: A Triumph	Frog Eyes	27-Apr-10	80	good
274	http://dbpedia.org/resource/The_Grind_Date	The Grind Date	De La Soul	5-Oct-04	80	good
1484	http://dbpedia.org/resource/IRM_(album)	IRM	Charlotte Gainsbourg	26-Jan-10	80	good
582	http://dbpedia.org/resource/The_Outsider_(DJ_Shadow_album)	The Outsider	DJ Shadow	19-Sep-06	62	bad
1239	http://dbpedia.org/resource/In_Case_You_Didn't_Know	In Case You Didn't Know	Olly Murs	25-Nov-11	60	bad
379	http://dbpedia.org/resource/War_Stories_(album)	War Stories	UNKLE	24-Jul-07	61	bad
458	http://dbpedia.org/resource/Bittersweet_World	Bittersweet World	Ashlee Simpson	22-Apr-08	62	bad
1074	http://dbpedia.org/resource/Ya_Know%3F	...Ya Know?	Joey Ramone	22-May-12	61	bad
1518	http://dbpedia.org/resource/The_Dangermen_Sessions_Vol._1	"The Dangermen Sessions, Vol. 1"	Madness	16-Aug-05	63	bad
224	http://dbpedia.org/resource/Only_by_the_Night	Only By The Night	Kings of Leon	23-Sep-08	63	bad
894	http://dbpedia.org/resource/American_Idiot	American Idiot	Green Day	21-Sep-04	79	good
312	http://dbpedia.org/resource/Imperial_Wax_Solvent	Imperial Wax Solvent	The Fall	28-Apr-08	81	good
1520	http://dbpedia.org/resource/Conspiracy_of_One	Conspiracy of One	The Offspring	14-Nov-00	60	bad
1299	http://dbpedia.org/resource/The_Drug_in_Me_Is_You	The Drug in Me Is You	Falling in Reverse	26-Jul-11	62	bad
674	http://dbpedia.org/resource/Offend_Maggie	Offend Maggie	Deerhoof	7-Oct-08	80	good
299	http://dbpedia.org/resource/Learning_from_Falling	Learning From Falling	Lamya	30-Jul-02	63	bad
1217	"http://dbpedia.org/resource/Now,_More_Than_Ever"	"Now, More Than Ever"	Jim Guthrie	1-Jun-04	87	good
1040	http://dbpedia.org/resource/All_the_Plans	All The Plans	Starsailor	9-Mar-09	62	bad
289	http://dbpedia.org/resource/Sleep_Through_the_Static	Sleep Through The Static	Jack Johnson	5-Feb-08	61	bad
1317	http://dbpedia.org/resource/Take_It_to_the_Limit_(Hinder_album)	Take It To The Limit	Hinder	4-Nov-08	49	bad
835	http://dbpedia.org/resource/Your_Future_Our_Clutter	Your Future Our Clutter	The Fall	4-May-10	81	good
860	http://dbpedia.org/resource/Love_Travels_at_Illegal_Speeds	Love Travels At Illegal Speeds	Graham Coxon	13-Mar-06	81	good
235	http://dbpedia.org/resource/Earth_vs._The_Pipettes	Earth vs. the Pipettes	The Pipettes	16-Nov-10	54	bad
1078	http://dbpedia.org/resource/In_the_Maybe_World	In The Maybe World	Lisa Germano	18-Jul-06	61	bad
731	http://dbpedia.org/resource/Break_the_Cycle	Break The Cycle	Staind	8-May-01	55	bad
1544	http://dbpedia.org/resource/Neon_Golden	Neon Golden	The Notwist	25-Feb-03	89	good
1303	http://dbpedia.org/resource/BLACKsummers'night	BLACKsummers'night	Maxwell	7-Jul-09	85	good
427	http://dbpedia.org/resource/White_Silence	White Silence	Cave In	24-May-11	80	good
855	http://dbpedia.org/resource/Watershed_(Opeth_album)	Watershed	Opeth	3-Jun-08	82	good
666	http://dbpedia.org/resource/Survival_of_the_Sickest_(album)	Survival Of The Sickest	Saliva	17-Aug-04	56	bad
622	http://dbpedia.org/resource/Wild_Flag_(album)	Wild Flag	Wild Flag	13-Sep-11	83	good
539	http://dbpedia.org/resource/Pushing_the_Senses	Pushing The Senses	Feeder	31-Jan-05	52	bad
1311	http://dbpedia.org/resource/No_Mundane_Options	No Mundane Options	The Paddingtons	3-Nov-08	60	bad
468	http://dbpedia.org/resource/Townes_(album)	Townes	Steve Earle	12-May-09	82	good
1339	http://dbpedia.org/resource/A_French_Kiss_in_the_Chaos	A French Kiss In The Chaos	Reverend and the Makers	27-Jul-09	58	bad
1578	http://dbpedia.org/resource/Dr._No's_Ethiopium	Dr. No's Ethiopium	Oh No	24-Nov-09	84	good
260	http://dbpedia.org/resource/Blood_in_My_Eye	Blood In My Eye	Ja Rule	4-Nov-03	45	bad
1401	http://dbpedia.org/resource/An_Empty_Bliss_Beyond_This_World	An Empty Bliss Beyond This World	The Caretaker	21-Jun-11	82	good
1198	http://dbpedia.org/resource/LCD_Soundsystem_(album)	LCD Soundsystem	LCD Soundsystem	15-Feb-05	86	good
624	http://dbpedia.org/resource/The_Color_Spectrum	The Color Spectrum	The Dear Hunter	14-Jun-11	81	good
1324	http://dbpedia.org/resource/Foundling_(album)	Foundling	David Gray	17-Aug-10	62	bad
973	http://dbpedia.org/resource/Live_Like_You_Were_Dying	Live Like You Were Dying	Tim McGraw	24-Aug-04	61	bad
1341	"http://dbpedia.org/resource/You're_a_Woman,_I'm_a_Machine"	"You're A Woman, I'm A Machine"	Death from Above 1979	26-Oct-04	82	good
1306	http://dbpedia.org/resource/Time_Changes_Everything	Time Changes Everything	John Squire	16-Sep-02	50	bad
917	http://dbpedia.org/resource/The_Time_of_the_Assassins	The Time Of The Assassins	Nickel Eye	27-Jan-09	56	bad
456	http://dbpedia.org/resource/Machine_(EP)	Machine [EP]	Yeah Yeah Yeahs	5-Nov-02	54	bad
675	http://dbpedia.org/resource/Thecontrollersphere	Thecontrollersphere	Of Montreal	26-Apr-11	60	bad
